Tag,TLabel,Column Inserted By FY (1 = Include in Cap Table),Custom,Abstract,CRDR,Datatype,Doc,IORD,Count
BusinessCombinationAcquisitionOfLessThan100PercentNoncontrollingInterestFairValue,"Business Combination, Acquisition of Less than 100 Percent, Noncontrolling Interest, Fair Value",,0,0,C,,This element represents the fair value of the noncontrolling interest in the acquiree at the acquisition date.,I,1
DueFromJointVentures,Due from Joint Ventures,,0,0,D,,"For an unclassified balance sheet, amounts due from an entity in which the reporting entity shares joint control with another party or group.",I,1
RedeemableNoncontrollingInterestEquityRedemptionValue,"Redeemable Noncontrolling Interest, Equity, Redemption Value",,0,0,C,,"Redemption value, as if currently redeemable, of redeemable noncontrolling interest classified as temporary equity and the election has been made to accrete changes in redemption value to the earliest redemption date.",I,1
RedeemableNoncontrollingInterestEquityCommonFairValue,"Redeemable Noncontrolling Interest, Equity, Common, Fair Value",,0,0,C,,"The fair value as of the reporting date of noncontrolling interests which are redeemable by the (parent) entity (1) at a fixed or determinable price on a fixed or determinable date, (2) at the option of the holder of the noncontrolling interest, or (3) upon occurrence of an event that is not solely within the control of the (parent) entity. The noncontrolling interest holder's ownership (or holders' ownership) may be in the form of common shares (regardless of class), limited partnership units (regardless of class), non-preferential membership interests, or any other form of common equity regardless of investee entity legal form.",I,1
RedeemableNoncontrollingInterestEquityOtherRedemptionValue,"Redeemable Noncontrolling Interest, Equity, Other, Redemption Value",,0,0,C,,"Redemption value, as if currently redeemable, of redeemable noncontrolling interest for other shares, units or ownership interests classified as temporary equity and the election has been made to accrete changes in redemption value to the earliest redemption date.",I,1
HeldtomaturityInvestments,Held-to-maturity investments,,0,0,D,,"The amount of non-derivative financial assets with fixed or determinable payments and fixed maturity that an entity has the positive intention and ability to hold to maturity other than: (a) those that the entity upon initial recognition designates as at fair value through profit or loss; (b) those that the entity designates as available for sale; and (c) those that meet the definition of loans and receivables. An entity shall not classify any financial assets as held to maturity if the entity has, during the current financial year or during the two preceding financial years, sold or reclassified more than an insignificant amount of held-to-maturity investments before maturity (more than insignificant in relation to the total amount of held-to-maturity investments) other than sales or reclassifications that: (i) are so close to maturity or the financial assets call date (for example, less than three months before maturity) that changes in the market rate of interest would not have a significant effect on the financial assets fair value; (ii) occur after the entity has collected substantially all of the financial assets original principal through scheduled payments or prepayments; or (iii) are attributable to an isolated event that is beyond the entitys control, is non-recurring and could not have been reasonably anticipated by the entity. [Refer: Derivative financial assets; Held-to-maturity investments; Prepayments]",I,1
AssetsFairValueDisclosure,"Assets, Fair Value Disclosure",,0,0,D,,Fair value portion of probable future economic benefits obtained or controlled by an entity as a result of past transactions or events.,I,1
MinorityInterestOwnershipPercentageByNoncontrollingOwners,"Noncontrolling Interest, Ownership Percentage by Noncontrolling Owners",,0,0,,,"The equity interest of noncontrolling shareholders, partners or other equity holders in consolidated entity.",I,1
LongtermPollutionControlBondCurrentAndNoncurrent,Long-term Pollution Control Bond,,0,0,C,,"Represents the current and noncurrent portions of a debt security issued by a state, certain agencies or authorities, a local government, or development corporation to finance the construction of air- or water-pollution control facilities or sewage or solid waste disposal facilities pursuant to federal law. The bonds are backed by the credit of the beneficiary of the financing rather than the credit of the issuer.",I,1
LongTermPollutionControlBond,"Long-term Pollution Control Bond, Noncurrent",,0,0,C,,"Noncurrent portion of a debt security issued by a state, certain agencies or authorities, a local government, or development corporation to finance the construction of air- or water-pollution control facilities or sewage or solid waste disposal facilities pursuant to federal law. The bonds are backed by the credit of the beneficiary of the financing rather than the credit of the issuer.",I,1
