Tag,TLabel,Column Inserted By FY (1 = Include in Cap Table),Version,Custom,Abstract,CRDR,Datatype,Doc,IORD,Count,Tag Lowercase,Tlabel Lowercase,Doc Lowercase,Tag Includes Debt,Tlabel Includes Debt,Doc Includes Debt,Tag Includes Note,Tlabel Includes Note,Doc Includes Note,Tag Includes Loan,Tlabel Includes Loan,Doc Includes Loan,Tag Includes Borrow,Tlabel Includes Borrow,Doc Includes Borrow,Tag Includes Facility,Tlabel Includes Facility,Doc Includes Facility,Tag Includes Line,Tlabel Includes Line,Doc Includes Line,Tag Includes Bond,Tlabel Includes Bond,Doc Includes Bond,Or
MortgageServingRightsLiabilitycarriedatfairvalue,"Mortgage Serving Rights Liability, carried at fair value",,0000933136-21-000060,1,0,C,,"Mortgage Serving Rights Liability, carried at fair value",I,1,mortgageservingrightsliabilitycarriedatfairvalue,"mortgage serving rights liability, carried at fair value","mortgage serving rights liability, carried at fair value",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
MortgagePayablesNetDeferredFinancingCostsNet,Mortgage Payables Net Deferred Financing Costs Net,1,0001564590-21-039523,1,0,C,,Mortgage payables net deferred financing costs net.,I,1,mortgagepayablesnetdeferredfinancingcostsnet,mortgage payables net deferred financing costs net,mortgage payables net deferred financing costs net.,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
MortgagesPayableHeldForSaleNetOfDeferredFinancingCost,Mortgages Payable Held For Sale Net Of Deferred Financing Cost,,0001564590-21-039523,1,0,C,,Mortgages payable held for sale net of deferred financing cost..,I,1,mortgagespayableheldforsalenetofdeferredfinancingcost,mortgages payable held for sale net of deferred financing cost,mortgages payable held for sale net of deferred financing cost..,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
MortgagesPayableIncludingUnamortizedPremium,Mortgages Payable Including Unamortized Premium,1,0001581068-21-000031,1,0,C,,Mortgages payable including unamortized premium.,I,1,mortgagespayableincludingunamortizedpremium,mortgages payable including unamortized premium,mortgages payable including unamortized premium.,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
MortgageBankingDerivativesLiability,Mortgage Banking Derivatives Liability,,0001564590-21-040169,1,0,C,,"Mortgage banking derivatives, liability.",I,1,mortgagebankingderivativesliability,mortgage banking derivatives liability,"mortgage banking derivatives, liability.",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
MortgagePayableFromConsolidatedVariableInterestEntities,Mortgage Payable From Consolidated Variable Interest Entities,1,0000034903-21-000060,1,0,C,,"Mortgages payable balances from variable interest entities, or VIEs, for the periods presented.",I,1,mortgagepayablefromconsolidatedvariableinterestentities,mortgage payable from consolidated variable interest entities,"mortgages payable balances from variable interest entities, or vies, for the periods presented.",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
MortgagesPayableAndOtherSecuredFinancingNet,Mortgages Payable And Other Secured Financing Net,1,0001564590-21-041219,1,0,C,,"Mortgages payable and other secured financing, net.",I,1,mortgagespayableandothersecuredfinancingnet,mortgages payable and other secured financing net,"mortgages payable and other secured financing, net.",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
OperatingRealEstateHeldForSaleMortgagePayables,"Operating Real Estate Held For Sale, Mortgage Payables",,0001104659-21-100765,1,0,C,,"Carrying value as of the balance sheet date of mortgages payable attributable to operating real estate investments, held for sale.",I,1,operatingrealestateheldforsalemortgagepayables,"operating real estate held for sale, mortgage payables","carrying value as of the balance sheet date of mortgages payable attributable to operating real estate investments, held for sale.",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
MortgagePayableNonCurrent,Mortgage Payable Non Current,1,0001564590-21-042125,1,0,C,,Mortgage payable non current.,I,1,mortgagepayablenoncurrent,mortgage payable non current,mortgage payable non current.,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
PurchasedSecuritiesPayable,Purchased Securities Payable,,0001564590-21-042688,1,0,C,,The amount payable for mortgage backed securities purchased.,I,1,purchasedsecuritiespayable,purchased securities payable,the amount payable for mortgage backed securities purchased.,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
