FILE,LABEL,VALUE
calculation,item_type,calculation_loc
calculation,type,locator
calculation,label,loc_us-gaap_Liabilities_d3cf4af1-dc67-472a-901c-e939be276bf4
calculation,href,https://xbrl.fasb.org/us-gaap/2021/elts/us-gaap-2021-01-31.xsd#us-gaap_Liabilities
calculation,item_type,calculation_loc
calculation,type,locator
calculation,label,loc_us-gaap_LiabilitiesCurrent_460f3ba0-dde2-45f6-ada4-5ce25406b436
calculation,href,https://xbrl.fasb.org/us-gaap/2021/elts/us-gaap-2021-01-31.xsd#us-gaap_LiabilitiesCurrent
calculation,item_type,calculation_calculationArc
calculation,order,1
calculation,weight,1.0
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_Liabilities_d3cf4af1-dc67-472a-901c-e939be276bf4
calculation,to,loc_us-gaap_LiabilitiesCurrent_460f3ba0-dde2-45f6-ada4-5ce25406b436
calculation,type,arc
calculation,item_type,calculation_loc
calculation,type,locator
calculation,label,loc_us-gaap_OperatingLeaseLiabilityNoncurrent_1e1d6eb9-ad21-4b5a-87d6-d7a4ac565461
calculation,href,https://xbrl.fasb.org/us-gaap/2021/elts/us-gaap-2021-01-31.xsd#us-gaap_OperatingLeaseLiabilityNoncurrent
calculation,item_type,calculation_calculationArc
calculation,order,2
calculation,weight,1.0
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_Liabilities_d3cf4af1-dc67-472a-901c-e939be276bf4
calculation,to,loc_us-gaap_OperatingLeaseLiabilityNoncurrent_1e1d6eb9-ad21-4b5a-87d6-d7a4ac565461
calculation,type,arc
calculation,item_type,calculation_loc
calculation,type,locator
calculation,label,loc_us-gaap_OtherLiabilitiesNoncurrent_7bf2b994-bb26-42fc-96b7-adc5bdf47c50
calculation,href,https://xbrl.fasb.org/us-gaap/2021/elts/us-gaap-2021-01-31.xsd#us-gaap_OtherLiabilitiesNoncurrent
calculation,item_type,calculation_calculationArc
calculation,order,3
calculation,weight,1.0
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_Liabilities_d3cf4af1-dc67-472a-901c-e939be276bf4
calculation,to,loc_us-gaap_OtherLiabilitiesNoncurrent_7bf2b994-bb26-42fc-96b7-adc5bdf47c50
calculation,type,arc
calculation,item_type,calculation_loc
calculation,type,locator
calculation,label,loc_us-gaap_Assets_6db99a84-caff-40eb-8b15-5c1748d2a481
calculation,href,https://xbrl.fasb.org/us-gaap/2021/elts/us-gaap-2021-01-31.xsd#us-gaap_Assets
calculation,item_type,calculation_loc
calculation,type,locator
calculation,label,loc_us-gaap_AssetsCurrent_c71b49f5-0a6a-4a65-82fb-11c201fc64d8
calculation,href,https://xbrl.fasb.org/us-gaap/2021/elts/us-gaap-2021-01-31.xsd#us-gaap_AssetsCurrent
calculation,item_type,calculation_calculationArc
calculation,order,1
calculation,weight,1.0
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_Assets_6db99a84-caff-40eb-8b15-5c1748d2a481
calculation,to,loc_us-gaap_AssetsCurrent_c71b49f5-0a6a-4a65-82fb-11c201fc64d8
calculation,type,arc
calculation,item_type,calculation_loc
calculation,type,locator
calculation,label,loc_us-gaap_PropertyPlantAndEquipmentAndFinanceLeaseRightOfUseAssetAfterAccumulatedDepreciationAndAmortization_e68a9929-cf72-4edf-abe4-11ffba22f934
calculation,href,https://xbrl.fasb.org/us-gaap/2021/elts/us-gaap-2021-01-31.xsd#us-gaap_PropertyPlantAndEquipmentAndFinanceLeaseRightOfUseAssetAfterAccumulatedDepreciationAndAmortization
calculation,item_type,calculation_calculationArc
calculation,order,2
calculation,weight,1.0
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_Assets_6db99a84-caff-40eb-8b15-5c1748d2a481
calculation,to,loc_us-gaap_PropertyPlantAndEquipmentAndFinanceLeaseRightOfUseAssetAfterAccumulatedDepreciationAndAmortization_e68a9929-cf72-4edf-abe4-11ffba22f934
calculation,type,arc
calculation,item_type,calculation_loc
calculation,type,locator
calculation,label,loc_us-gaap_IntangibleAssetsNetExcludingGoodwill_44503482-02bc-4dfc-9138-b07729d5df31
calculation,href,https://xbrl.fasb.org/us-gaap/2021/elts/us-gaap-2021-01-31.xsd#us-gaap_IntangibleAssetsNetExcludingGoodwill
calculation,item_type,calculation_calculationArc
calculation,order,3
calculation,weight,1.0
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_Assets_6db99a84-caff-40eb-8b15-5c1748d2a481
calculation,to,loc_us-gaap_IntangibleAssetsNetExcludingGoodwill_44503482-02bc-4dfc-9138-b07729d5df31
calculation,type,arc
calculation,item_type,calculation_loc
calculation,type,locator
calculation,label,loc_us-gaap_Goodwill_6f12645a-4cba-4dc0-a76b-42df7d0cbd7c
calculation,href,https://xbrl.fasb.org/us-gaap/2021/elts/us-gaap-2021-01-31.xsd#us-gaap_Goodwill
calculation,item_type,calculation_calculationArc
calculation,order,4
calculation,weight,1.0
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_Assets_6db99a84-caff-40eb-8b15-5c1748d2a481
calculation,to,loc_us-gaap_Goodwill_6f12645a-4cba-4dc0-a76b-42df7d0cbd7c
calculation,type,arc
calculation,item_type,calculation_loc
