ID,CATEGORY,LABEL,VALUE
us-gaap_LossContingencyAccrualPayments,label_id,lab_us-gaap_LossContingencyAccrualPayments,None
us-gaap_LossContingencyAccrualPayments,location_id,lab_us-gaap_LossContingencyAccrualPayments,None
us-gaap_LossContingencyAccrualPayments,us_gaap_id,us-gaap:LossContingencyAccrualPayments,None
us-gaap_LossContingencyAccrualPayments,us_gaap_value,id,us-gaap:LossContingencyAccrualPayments
us-gaap_LossContingencyAccrualPayments,us_gaap_value,master_id,us-gaap_LossContingencyAccrualPayments
us-gaap_LossContingencyAccrualPayments,us_gaap_value,context_ref,ic54234a123d740b884ffdd25bb792098_D20210331-20210331
us-gaap_LossContingencyAccrualPayments,us_gaap_value,fraction_id,id3VybDovL2RvY3MudjEvZG9jOjBmZWU4YzY0ZDM2ODRkN2RiODU0YjFkNWZiNmEzZGI2L3NlYzowZmVlOGM2NGQzNjg0ZDdkYjg1NGIxZDVmYjZhM2RiNl82Ny9mcmFnOjc5NGI0NmM3ZjEzODRkMzlhYmI5ZjMyOGE5OTdmYzQ5L3RleHRyZWdpb246Nzk0YjQ2YzdmMTM4NGQzOWFiYjlmMzI4YTk5N2ZjNDlfNTM1NA_c93a64d9-ea7f-4a3f-b1bf-59b4a507314d
us-gaap_LossContingencyAccrualPayments,us_gaap_value,unit_ref,usd
us-gaap_LossContingencyAccrualPayments,us_gaap_value,decimals,-6
us-gaap_LossContingencyAccrualPayments,us_gaap_value,scale,6
us-gaap_LossContingencyAccrualPayments,us_gaap_value,format,ixt:num-dot-decimal
us-gaap_LossContingencyAccrualPayments,us_gaap_value,value,650
us-gaap_LossContingencyAccrualPayments,label_label,item_type,label_label
us-gaap_LossContingencyAccrualPayments,label_label,id,lab_us-gaap_LossContingencyAccrualPayments_label_en-US
us-gaap_LossContingencyAccrualPayments,label_label,label,lab_us-gaap_LossContingencyAccrualPayments
us-gaap_LossContingencyAccrualPayments,label_label,role,http://www.xbrl.org/2003/role/label
us-gaap_LossContingencyAccrualPayments,label_label,type,resource
us-gaap_LossContingencyAccrualPayments,label_label,lang,en-US
us-gaap_SupplementalCashFlowInformationAbstract,label_id,lab_us-gaap_SupplementalCashFlowInformationAbstract,None
us-gaap_SupplementalCashFlowInformationAbstract,location_id,lab_us-gaap_SupplementalCashFlowInformationAbstract,None
us-gaap_SupplementalCashFlowInformationAbstract,us_gaap_id,us-gaap:SupplementalCashFlowInformationAbstract,None
us-gaap_SupplementalCashFlowInformationAbstract,label_label,item_type,label_label
us-gaap_SupplementalCashFlowInformationAbstract,label_label,id,lab_us-gaap_SupplementalCashFlowInformationAbstract_label_en-US
us-gaap_SupplementalCashFlowInformationAbstract,label_label,label,lab_us-gaap_SupplementalCashFlowInformationAbstract
us-gaap_SupplementalCashFlowInformationAbstract,label_label,role,http://www.xbrl.org/2003/role/label
us-gaap_SupplementalCashFlowInformationAbstract,label_label,type,resource
us-gaap_SupplementalCashFlowInformationAbstract,label_label,lang,en-US
us-gaap_EarningsPerSharePolicyTextBlock,label_id,lab_us-gaap_EarningsPerSharePolicyTextBlock,None
us-gaap_EarningsPerSharePolicyTextBlock,location_id,lab_us-gaap_EarningsPerSharePolicyTextBlock,None
us-gaap_EarningsPerSharePolicyTextBlock,us_gaap_id,us-gaap:EarningsPerSharePolicyTextBlock,None
us-gaap_EarningsPerSharePolicyTextBlock,label_label,item_type,label_label
us-gaap_EarningsPerSharePolicyTextBlock,label_label,id,lab_us-gaap_EarningsPerSharePolicyTextBlock_label_en-US
us-gaap_EarningsPerSharePolicyTextBlock,label_label,label,lab_us-gaap_EarningsPerSharePolicyTextBlock
us-gaap_EarningsPerSharePolicyTextBlock,label_label,role,http://www.xbrl.org/2003/role/label
us-gaap_EarningsPerSharePolicyTextBlock,label_label,type,resource
us-gaap_EarningsPerSharePolicyTextBlock,label_label,lang,en-US
